competition_id,name,Competition_Name,Season
1,Championship,,
2,Bundesliga,,
3,Premier League,,
4,Primera Division Arg.,,
5,Serie A,,
6,Belgium Pro League,,
7,Primeira Liga ,,
8,La Liga,,
9,Superliga Denmark,,
10,MLS,,
11,Ligue 1,,
12,Eredivisie,,
13,Bundesliga 2,,
14,LMX,,
15,Premier League U18,,
16,Liga Profesional Argentina,,
17,,Championship,2023-2024
18,,Bundesliga,2023-2024
19,,Premier League,2023-2024
20,,Primera Division Arg.,2023-2024
21,,Serie A,2023-2024
22,,Belgium Pro League,2023-2024
23,,Primeira Liga ,2023-2024
24,,La Liga,2023-2024
25,,Superliga Denmark,2023-2024
26,,MLS,2023-2024
27,,Ligue 1,2023-2024
28,,Eredivisie,2023-2024
29,,Bundesliga 2,2023-2024
30,,LMX,2023-2024
31,,Premier League U18,2023-2024
32,,Liga Profesional Argentina,2023-2024
33,,Championship,2023-2024
34,,Bundesliga,2023-2024
35,,Premier League,2023-2024
36,,Primera Division Arg.,2023-2024
37,,Serie A,2023-2024
38,,Belgium Pro League,2023-2024
39,,Primeira Liga ,2023-2024
40,,La Liga,2023-2024
41,,Superliga Denmark,2023-2024
42,,MLS,2023-2024
43,,Ligue 1,2023-2024
44,,Eredivisie,2023-2024
45,,Bundesliga 2,2023-2024
46,,LMX,2023-2024
47,,Premier League U18,2023-2024
48,,Liga Profesional Argentina,2023-2024
49,,Championship,2023-2024
50,,Bundesliga,2023-2024
51,,Premier League,2023-2024
52,,Primera Division Arg.,2023-2024
53,,Serie A,2023-2024
54,,Belgium Pro League,2023-2024
55,,Primeira Liga ,2023-2024
56,,La Liga,2023-2024
57,,Superliga Denmark,2023-2024
58,,MLS,2023-2024
59,,Ligue 1,2023-2024
60,,Eredivisie,2023-2024
61,,Bundesliga 2,2023-2024
62,,LMX,2023-2024
63,,Premier League U18,2023-2024
64,,Liga Profesional Argentina,2023-2024
65,,Championship,2023-2024
66,,Bundesliga,2023-2024
67,,Premier League,2023-2024
68,,Primera Division Arg.,2023-2024
69,,Serie A,2023-2024
70,,Belgium Pro League,2023-2024
71,,Primeira Liga ,2023-2024
72,,La Liga,2023-2024
73,,Superliga Denmark,2023-2024
74,,MLS,2023-2024
75,,Ligue 1,2023-2024
76,,Eredivisie,2023-2024
77,,Bundesliga 2,2023-2024
78,,LMX,2023-2024
79,,Premier League U18,2023-2024
80,,Liga Profesional Argentina,2023-2024
81,,Championship,2023-2024
82,,Bundesliga,2023-2024
83,,Premier League,2023-2024
84,,Primera Division Arg.,2023-2024
85,,Serie A,2023-2024
86,,Belgium Pro League,2023-2024
87,,Primeira Liga ,2023-2024
88,,La Liga,2023-2024
89,,Superliga Denmark,2023-2024
90,,MLS,2023-2024
91,,Ligue 1,2023-2024
92,,Eredivisie,2023-2024
93,,Bundesliga 2,2023-2024
94,,LMX,2023-2024
95,,Premier League U18,2023-2024
96,,Liga Profesional Argentina,2023-2024
97,,Championship,2023-2024
98,,Bundesliga,2023-2024
99,,Premier League,2023-2024
100,,Primera Division Arg.,2023-2024
101,,Serie A,2023-2024
102,,Belgium Pro League,2023-2024
103,,Primeira Liga ,2023-2024
104,,La Liga,2023-2024
105,,Superliga Denmark,2023-2024
106,,MLS,2023-2024
107,,Ligue 1,2023-2024
108,,Eredivisie,2023-2024
109,,Bundesliga 2,2023-2024
110,,LMX,2023-2024
111,,Premier League U18,2023-2024
112,,Liga Profesional Argentina,2023-2024
113,,Championship,2023-2024
114,,Bundesliga,2023-2024
115,,Premier League,2023-2024
116,,Primera Division Arg.,2023-2024
117,,Serie A,2023-2024
118,,Belgium Pro League,2023-2024
119,,Primeira Liga ,2023-2024
120,,La Liga,2023-2024
121,,Superliga Denmark,2023-2024
122,,MLS,2023-2024
123,,Ligue 1,2023-2024
124,,Eredivisie,2023-2024
125,,Bundesliga 2,2023-2024
126,,LMX,2023-2024
127,,Premier League U18,2023-2024
128,,Liga Profesional Argentina,2023-2024
129,,Championship,2023-2024
130,,Bundesliga,2023-2024
131,,Premier League,2023-2024
132,,Primera Division Arg.,2023-2024
133,,Serie A,2023-2024
134,,Belgium Pro League,2023-2024
135,,Primeira Liga ,2023-2024
136,,La Liga,2023-2024
137,,Superliga Denmark,2023-2024
138,,MLS,2023-2024
139,,Ligue 1,2023-2024
140,,Eredivisie,2023-2024
141,,Bundesliga 2,2023-2024
142,,LMX,2023-2024
143,,Premier League U18,2023-2024
144,,Liga Profesional Argentina,2023-2024
145,,Championship,2023-2024
146,,Bundesliga,2023-2024
147,,Premier League,2023-2024
148,,Primera Division Arg.,2023-2024
149,,Serie A,2023-2024
150,,Belgium Pro League,2023-2024
151,,Primeira Liga ,2023-2024
152,,La Liga,2023-2024
153,,Superliga Denmark,2023-2024
154,,MLS,2023-2024
155,,Ligue 1,2023-2024
156,,Eredivisie,2023-2024
157,,Bundesliga 2,2023-2024
158,,LMX,2023-2024
159,,Premier League U18,2023-2024
160,,Liga Profesional Argentina,2023-2024
161,,Championship,2023-2024
162,,Bundesliga,2023-2024
163,,Premier League,2023-2024
164,,Primera Division Arg.,2023-2024
165,,Serie A,2023-2024
166,,Belgium Pro League,2023-2024
167,,Primeira Liga ,2023-2024
168,,La Liga,2023-2024
169,,Superliga Denmark,2023-2024
170,,MLS,2023-2024
171,,Ligue 1,2023-2024
172,,Eredivisie,2023-2024
173,,Bundesliga 2,2023-2024
174,,LMX,2023-2024
175,,Premier League U18,2023-2024
176,,Liga Profesional Argentina,2023-2024
177,,Championship,2023-2024
178,,Bundesliga,2023-2024
179,,Premier League,2023-2024
180,,Primera Division Arg.,2023-2024
181,,Serie A,2023-2024
182,,Belgium Pro League,2023-2024
183,,Primeira Liga ,2023-2024
184,,La Liga,2023-2024
185,,Superliga Denmark,2023-2024
186,,MLS,2023-2024
187,,Ligue 1,2023-2024
188,,Eredivisie,2023-2024
189,,Bundesliga 2,2023-2024
190,,LMX,2023-2024
191,,Premier League U18,2023-2024
192,,Liga Profesional Argentina,2023-2024
193,,Championship,2023-2024
194,,Bundesliga,2023-2024
195,,Premier League,2023-2024
196,,Primera Division Arg.,2023-2024
197,,Serie A,2023-2024
198,,Belgium Pro League,2023-2024
199,,Primeira Liga ,2023-2024
200,,La Liga,2023-2024
201,,Superliga Denmark,2023-2024
202,,MLS,2023-2024
203,,Ligue 1,2023-2024
204,,Eredivisie,2023-2024
205,,Bundesliga 2,2023-2024
206,,LMX,2023-2024
207,,Premier League U18,2023-2024
208,,Liga Profesional Argentina,2023-2024
