Player_ID,Player_Name,Photo,Nationship,Nation_Image,Age,Date_Born,Propietary_Team,Position,Secondary_Position,Foot,Height,Contract_End_Date,Market_Value_M
1,Abdul Issahaku Fatawu ,https://cdn.resfu.com/img_data/players/medium/3132635.jpg?size=180x&lossy=1,Ghana,https://capology-e6a3.kxcdn.com/static/images/flags/ghana.svg,20,2004,Sporting CP,RW,FW,Left,177.0,2027,6.5
2,Adam Hložek ,https://cdn.resfu.com/img_data/players/medium/502294.jpg?size=180x&lossy=1,Czech Republic,https://capology-e6a3.kxcdn.com/static/images/flags/czech-republic.svg,21,2002,B.Leverkusen,FW,LW,Right,180.0,2027,28.7
3,Adam Wharton,https://cdn.resfu.com/img_data/players/medium/917052.jpg?size=180x&lossy=1,England,https://capology-e6a3.kxcdn.com/static/images/flags/england.svg,20,2004,Crystal Palace,CMF,DMF,Left,182.0,2029,7.5
4,Adrion Pajaziti,https://cdn.resfu.com/img_data/players/medium/807149.jpg?size=180x&lossy=1,Albania,https://capology-e6a3.kxcdn.com/static/images/flags/albania.svg,21,2002,Fulham,AMF,LMF,Left,180.0,2025,0.128
5,Agustín Ruberto ,https://cdn.resfu.com/img_data/players/medium/3221607.jpg?size=180x&lossy=1,Argentina,https://capology-e6a3.kxcdn.com/static/images/flags/argentina.svg,18,2006,River Plate,CF,AMF,Right,185.0,2027,2.0
6,Alan Matturro,https://cdn.resfu.com/img_data/players/medium/907094.jpg?size=180x&lossy=1,Uruguay,https://capology-e6a3.kxcdn.com/static/images/flags/uruguay.svg,19,2004,Genoa,CB,LB,Left,189.0,2026,2.7
7,Alan Minda,https://cdn.resfu.com/img_data/players/medium/979119.jpg?size=180x&lossy=1,Ecuador,https://capology-e6a3.kxcdn.com/static/images/flags/ecuador.svg,20,2003,Cercle Brugge,RW,LW,Right,171.0,2028,3.6
8,Alan Varela,https://cdn.resfu.com/img_data/players/medium/902920.jpg?size=180x&lossy=1,Argentina,https://capology-e6a3.kxcdn.com/static/images/flags/argentina.svg,22,2001,FC Porto,DMF,CMF,Right,177.0,2028,20.6
9,Alberto Moleiro,https://cdn.resfu.com/img_data/players/medium/908854.jpg?size=180x&lossy=1,Spain,https://capology-e6a3.kxcdn.com/static/images/flags/spain.svg,20,2003,Las Palmas,AMF,LW,Right,171.0,2026,11.6
10,Alejandro Garnacho,https://cdn.resfu.com/img_data/players/medium/879635.jpg?size=180x&lossy=1,Argentina,https://capology-e6a3.kxcdn.com/static/images/flags/argentina.svg,19,2004,Manchester United,LW,RW,Right,180.0,2028,38.1
11,Alemão João Victor,https://cdn.resfu.com/img_data/players/medium/913732.jpg?size=180x&lossy=1,Brazil,https://capology-e6a3.kxcdn.com/static/images/flags/brazil.svg,21,2002,Portimonense,CB,LCB,Right,194.0,2027,0.646
12,Alex Baena,https://cdn.resfu.com/img_data/players/medium/872213.jpg?size=180x&lossy=1,Spain,https://capology-e6a3.kxcdn.com/static/images/flags/spain.svg,22,2001,Villarreal,AMF,LW,Right,174.0,2028,33.5
13,Álex Jiménez,https://cdn.resfu.com/img_data/players/medium/918991.jpg?size=180x&lossy=1,Spain,https://capology-e6a3.kxcdn.com/static/images/flags/spain.svg,18,2005,Real Madrid,RB,LB,Right,177.0,2027,0.112
14,Alex Scott ,https://cdn.resfu.com/img_data/players/medium/1019973.jpg?size=180x&lossy=1,England,https://capology-e6a3.kxcdn.com/static/images/flags/england.svg,20,2003,Bournemouth,CMF,DMF,Right,178.0,2025,18.1
15,Anatoliy Trubin ,https://cdn.resfu.com/img_data/players/medium/427245.jpg?size=180x&lossy=1,Ukranie,https://capology-e6a3.kxcdn.com/static/images/flags/ukraine.svg,22,2001,Benfica,GK,GK,Right,199.0,2028,23.7
16,Andreas Schjelderup,https://cdn.resfu.com/img_data/players/medium/887457.jpg?size=180x&lossy=1,Norway,https://capology-e6a3.kxcdn.com/static/images/flags/norway.svg,19,2004,Benfica,LW,FW,Right,176.0,2028,12.8
17,Andrés Gómez  ,https://cdn.resfu.com/img_data/players/medium/3214301.jpg?size=180x&lossy=1,Colombia,https://capology-e6a3.kxcdn.com/static/images/flags/colombia.svg,21,2002,Real Salt Lake,RW,RMF,Right,171.0,2027,7.2
18,Andrey Santos,https://cdn.resfu.com/img_data/players/medium/904948.jpg?size=180x&lossy=1,Brazil,https://capology-e6a3.kxcdn.com/static/images/flags/brazil.svg,20,2004,Chelsea,DMF,CMF,Right,180.0,2030,16.7
19,Ângelo Gabriel,https://cdn.resfu.com/img_data/players/medium/904953.jpg?size=180x&lossy=1,Brazil,https://capology-e6a3.kxcdn.com/static/images/flags/brazil.svg,19,2004,Chelsea,RW,LW,Left,180.0,2029,22.0
20,Anselmo Garcia McNulty,https://cdn.resfu.com/img_data/players/medium/861509.jpg?size=180x&lossy=1,Spain,https://capology-e6a3.kxcdn.com/static/images/flags/spain.svg,21,2003,PEC Zwolle,LB,LCB,Left,190.0,2026,1.3
21,Anthony Elanga,https://cdn.resfu.com/img_data/players/medium/671483.jpg?size=180x&lossy=1,Sweden,https://capology-e6a3.kxcdn.com/static/images/flags/sweden.svg,22,2002,Nottingham Forest,LW,RW,Right,178.0,2028,23.4
22,Anthony Gordon,https://cdn.resfu.com/img_data/players/medium/427689.jpg?size=180x&lossy=1,England,https://capology-e6a3.kxcdn.com/static/images/flags/england.svg,23,2001,Newcastle,LW,RW,Right,182.0,2028,56.5
23,Antoni Milambo,https://cdn.resfu.com/img_data/players/medium/895793.jpg?size=180x&lossy=1,Netherlands,https://capology-e6a3.kxcdn.com/static/images/flags/netherlands.svg,19,2005,Feyenoord,CMF,DMF,Right,179.0,2027,2.8
24,Antonio Nusa,https://cdn.resfu.com/img_data/players/medium/3156549.jpg?size=180x&lossy=1,Norway,https://capology-e6a3.kxcdn.com/static/images/flags/norway.svg,19,2005,Club Brugge,LW,FW,Right,180.0,2027,16.0
25,Aral Simsir,https://cdn.resfu.com/img_data/players/medium/709613.jpg?size=180x&lossy=1,Turkey,https://capology-e6a3.kxcdn.com/static/images/flags/turkey.svg,21,2002,Midtjylland,LW,RW,Right,167.0,2028,4.2
26,Archie Brown,https://cdn.resfu.com/img_data/players/medium/667055.jpg?size=180x&lossy=1,England,https://capology-e6a3.kxcdn.com/static/images/flags/england.svg,21,2002,KAA Gent,LB,LWB,Left,190.0,2027,5.8
27,Archie Gray,https://cdn.resfu.com/img_data/players/medium/3175017.jpg?size=180x&lossy=1,England,https://capology-e6a3.kxcdn.com/static/images/flags/england.svg,18,2006,Leeds United,RCMF,RB,Right,185.0,2025,11.7
28,Armindo Sieb ,https://cdn.resfu.com/img_data/players/medium/754989.jpg?size=180x&lossy=1,Germany,https://capology-e6a3.kxcdn.com/static/images/flags/germany.svg,21,2003,Greuther Fürth,AMF,FW,Both,175.0,2025,3.5
29,Arouna Sangante,https://cdn.resfu.com/img_data/players/medium/753590.jpg?size=180x&lossy=1,Senegal,https://capology-e6a3.kxcdn.com/static/images/flags/senegal.svg,22,2002,Le Havre,RCB,RB,Right,189.0,2026,8.4
30,Arthur Vermeeren,https://cdn.resfu.com/img_data/players/medium/3201015.jpg?size=180x&lossy=1,Belgium,https://capology-e6a3.kxcdn.com/static/images/flags/belgium.svg,19,2005,Atletico Madrid,CMF,DMF,Right,180.0,2026,29.8
31,Ashley Phillips,https://cdn.resfu.com/img_data/players/medium/3175350.jpg?size=180x&lossy=1,England,https://capology-e6a3.kxcdn.com/static/images/flags/england.svg,18,2005,Tottenham Hotspur,RCB,RB,Right,192.0,2028,1.2
32,Ayman Kari,https://cdn.resfu.com/img_data/players/medium/893911.jpg?size=180x&lossy=1,France,https://capology-e6a3.kxcdn.com/static/images/flags/france.svg,19,2004,PSG,CMF,RAMF,Right,176.0,2025,2.2
33,Ayyoub Bouadi,https://cdn.resfu.com/img_data/players/medium/3240450.jpg?size=180x&lossy=1,France,https://capology-e6a3.kxcdn.com/static/images/flags/france.svg,16,2007,Lille,AMF,CMF,Right,175.0,2026,38.0
34,Arda Güler,https://cdn.resfu.com/img_data/players/medium/3144243.jpg?size=180x&lossy=1,Turkey,https://capology-e6a3.kxcdn.com/static/images/flags/turkey.svg,19,2005,Real Madrid,AMF,RW,Left,175.0,2029,14.9
35,Bart Verbruggen ,https://cdn.resfu.com/img_data/players/medium/711994.jpg?size=180x&lossy=1,Netherlands,https://capology-e6a3.kxcdn.com/static/images/flags/netherlands.svg,21,2002,Brighton & Hove Albion,GK,GK,Right,194.0,2028,13.5
36,Bastien Meupiyou,https://cdn.resfu.com/img_data/players/medium/3209206.jpg?size=180x&lossy=1,France,https://capology-e6a3.kxcdn.com/static/images/flags/france.svg,18,2006,Nantes,LCB,RB,Left,191.0,2025,0.575
37,Benjamin Sesko ,https://cdn.resfu.com/img_data/players/medium/811819.jpg?size=180x&lossy=1,Slovenia,https://capology-e6a3.kxcdn.com/static/images/flags/slovenia.svg,21,2003,RB Leipzig,FW,LW,Right,195.0,2028,52.7
38,Benjamin Tahirovic,https://cdn.resfu.com/img_data/players/medium/949554.jpg?size=180x&lossy=1,Bosnia/Sweden,https://capology-e6a3.kxcdn.com/static/images/flags/bosnia-herzegovina.svg,21,2003,Ajax,DMF,CMF,Right,191.0,2028,7.1
39,Bilal El Khannouss,https://cdn.resfu.com/img_data/players/medium/886704.jpg?size=180x&lossy=1,Morocco,https://capology-e6a3.kxcdn.com/static/images/flags/morocco.svg,20,2004,Genk,AMF,CMF,Right,180.0,2027,26.6
40,Billy Gilmour ,https://cdn.resfu.com/img_data/players/medium/348916.jpg?size=180x&lossy=1,Scotland,https://capology-e6a3.kxcdn.com/static/images/flags/scotland.svg,22,2001,Brighton & Hove Albion,DMF,CMF,Right,170.0,2026,20.8
41,Bobby Clark,https://cdn.resfu.com/img_data/players/medium/875698.jpg?size=180x&lossy=1,England,https://capology-e6a3.kxcdn.com/static/images/flags/england.svg,19,2005,Liverpool,AMF,LW,Right,178.0,2027,0.834
42,Bradley Barcola,https://cdn.resfu.com/img_data/players/medium/879198.jpg?size=180x&lossy=1,France,https://capology-e6a3.kxcdn.com/static/images/flags/france.svg,21,2002,PSG,LW,RW,Right,182.0,2028,38.5
43,Bradley Locko,https://cdn.resfu.com/img_data/players/medium/969586.jpg?size=180x&lossy=1,France,https://capology-e6a3.kxcdn.com/static/images/flags/france.svg,22,2002,Stade Brestois,LB,LWB,Left,180.0,2027,8.9
44,Brajan Gruda,https://cdn.resfu.com/img_data/players/medium/887542.jpg?size=180x&lossy=1,Germany,https://capology-e6a3.kxcdn.com/static/images/flags/germany.svg,20,2004,Maninz 05,RW,RAMF,Left,178.0,2026,7.3
45,Brandan Craig,https://cdn.resfu.com/img_data/players/medium/908247.jpg?size=180x&lossy=1,USA,https://capology-e6a3.kxcdn.com/static/images/flags/united-states.svg,20,2004,Philadelphia Union,RCB,DMF,Right,185.0,2024,0.531
46,Brian Brobbey,https://cdn.resfu.com/img_data/players/medium/429362.jpg?size=180x&lossy=1,Netherlands,https://capology-e6a3.kxcdn.com/static/images/flags/netherlands.svg,22,2002,Ajax,FW,AMF,Right,182.0,2027,31.2
47,Brian Gutiérrez,https://cdn.resfu.com/img_data/players/medium/902988.jpg?size=180x&lossy=1,USA,https://capology-e6a3.kxcdn.com/static/images/flags/united-states.svg,20,2003,Chicago Fire,AMF,AMF,Right,178.0,2028,8.7
48,Bukayo Saka,https://cdn.resfu.com/img_data/players/medium/677979.jpg?size=180x&lossy=1,England,https://capology-e6a3.kxcdn.com/static/images/flags/england.svg,22,2001,Arsenal,RW,FW,Left,178.0,2027,161.6
49,Cade Cowell,https://cdn.resfu.com/img_data/players/medium/843562.jpg?size=180x&lossy=1,USA,https://capology-e6a3.kxcdn.com/static/images/flags/united-states.svg,20,2003,Chivas,LW,FW,Right,183.0,2025,11.5
50,Can Uzun,https://cdn.resfu.com/img_data/players/medium/976168.jpg?size=180x&lossy=1,Turkey,https://capology-e6a3.kxcdn.com/static/images/flags/turkey.svg,18,2005,Nürnberg,AMF,FW,Right,186.0,2027,8.8
51,Carlos Alcaraz ,https://cdn.resfu.com/img_data/players/medium/906871.jpg?size=180x&lossy=1,Argentina,https://capology-e6a3.kxcdn.com/static/images/flags/argentina.svg,21,2002,Southampton,CMF,AMF,Right,183.0,2028,15.8
52,Carlos Forbs,https://cdn.resfu.com/img_data/players/medium/893763.jpg?size=180x&lossy=1,Portugal,https://capology-e6a3.kxcdn.com/static/images/flags/portugal.svg,20,2004,Ajax,LW,RW,Left,170.0,2028,11.1
53,Castello Lukeba,https://cdn.resfu.com/img_data/players/medium/776745.jpg?size=180x&lossy=1,France,https://capology-e6a3.kxcdn.com/static/images/flags/france.svg,21,2002,RB Leipzig,LCB,LCB,Left,184.0,2028,35.0
54,Cavan Sullivan,https://cdn.resfu.com/img_data/players/medium/3403716.jpg?size=180x&lossy=1,USA,https://capology-e6a3.kxcdn.com/static/images/flags/united-states.svg,14,2009,Philadelphia Union II,CMF,AMF,Left,170.0,2028,1.0
55,Chaka Traorè,https://cdn.resfu.com/img_data/players/medium/884423.jpg?size=180x&lossy=1,Costade Marfil,https://capology-e6a3.kxcdn.com/static/images/flags/cote-d-ivoire.svg,19,2004, AC Milan ,LW,RW,Right,175.0,2028,1.0
56,Charles de Ketelaere ,https://cdn.resfu.com/img_data/players/medium/776333.jpg?size=180x&lossy=1,Belgium,https://capology-e6a3.kxcdn.com/static/images/flags/belgium.svg,23,2001,AC Milan,AMF,RW,Left,192.0,2027,32.3
57,Chido Obi,https://cdn.resfu.com/img_data/players/medium/3374028.jpg?size=180x&lossy=1,Denmark,https://capology-e6a3.kxcdn.com/static/images/flags/denmark.svg,16,2007,Arsenal ,FW,RW,Right,188.0,2025,0.3
58,Christos Tzolis,https://cdn.resfu.com/img_data/players/medium/813152.jpg?size=180x&lossy=1,Greece,https://capology-e6a3.kxcdn.com/static/images/flags/greece.svg,22,2002,Norwich City,LW,RW,Right,179.0,2026,8.3
59,Claudio Echeverri ,https://cdn.resfu.com/img_data/players/medium/3221609.jpg?size=180x&lossy=1,Argentina,https://capology-e6a3.kxcdn.com/static/images/flags/argentina.svg,18,2006,Manchester City,AMF,CMF,Right,171.0,2028,9.9
60,Cole Palmer ,https://cdn.resfu.com/img_data/players/medium/675016.jpg?size=180x&lossy=1,England,https://capology-e6a3.kxcdn.com/static/images/flags/england.svg,22,2002,Chelsea,AMF,RW,Left,189.0,2030,49.3
61,Conor Bradley ,https://cdn.resfu.com/img_data/players/medium/878191.jpg?size=180x&lossy=1,England,https://capology-e6a3.kxcdn.com/static/images/flags/england.svg,20,2003,Liverpool,RB,RWB,Right,181.0,2027,14.9
62,Couhaib Driouech,https://cdn.resfu.com/img_data/players/medium/872073.jpg?size=180x&lossy=1,Morocco,https://capology-e6a3.kxcdn.com/static/images/flags/morocco.svg,22,2002,Excelsior,LW,LMF,Right,175.0,2025,3.2
63,Cristhian Mosquera,https://cdn.resfu.com/img_data/players/medium/885921.jpg?size=180x&lossy=1,Spain,https://capology-e6a3.kxcdn.com/static/images/flags/spain.svg,19,2004,Valencia,RCB,RB,Right,191.0,2026,12.2
