Player_ID,Player_Name,Photo,Nationship,Nation_Image,Age,Date_Born,Propietary_Team,Position,Secondary_Position,Foot,Height,Contract_End_Date,Market_Value_M,Stats_ID,Team_ID,Competition_ID,Matches_Index,Conditional_Index,Goal_Involvement_Index,Passing_Index,Technical_Skills_Index,Offensive_Index,Defensive_Index,Performance_Index,xPerformance_Index,Scouting_Index,Team,Team_Image,Profile_Main_Characteristic,Competition,Season,Matches_Played,Minutes,Start_Line_UP_Percent
1,Abdul Issahaku Fatawu ,https://cdn.resfu.com/img_data/players/medium/3132635.jpg?size=180x&lossy=1,Ghana,https://capology-e6a3.kxcdn.com/static/images/flags/ghana.svg,20,2004,Sporting CP,RW,FW,Left,177.0,2027,6.5,1,1,17,77.0,69.0,52.0,78.0,71.0,76.0,83.0,70.0,79.0,80.0,Leicester,https://capology-e6a3.kxcdn.com/static/images/logos/uk/leicester.svg,Changed Leg Right Winger ,Championship,2023-2024,41,2805,77.0
2,Adam Hložek ,https://cdn.resfu.com/img_data/players/medium/502294.jpg?size=180x&lossy=1,Czech Republic,https://capology-e6a3.kxcdn.com/static/images/flags/czech-republic.svg,21,2002,B.Leverkusen,FW,LW,Right,180.0,2027,28.7,2,2,18,72.0,53.0,70.0,82.0,72.0,70.0,71.0,78.0,80.0,90.0,B.Leverkusen,https://capology-e6a3.kxcdn.com/static/images/logos/de/bayer-leverkusen.svg,Inside Left Winger ,Bundesliga,2023-2024,32,815,28.0
3,Adam Wharton,https://cdn.resfu.com/img_data/players/medium/917052.jpg?size=180x&lossy=1,England,https://capology-e6a3.kxcdn.com/static/images/flags/england.svg,20,2004,Crystal Palace,CMF,DMF,Left,182.0,2029,7.5,3,3,19,77.0,87.0,65.0,76.0,71.0,85.0,77.0,71.0,82.0,90.0,Crystal Palace,https://capology-e6a3.kxcdn.com/static/images/logos/uk/crystal-palace.svg,Defensive Technical Midfielder,Premier League,2023-2024,11,865,91.0
4,Adrion Pajaziti,https://cdn.resfu.com/img_data/players/medium/807149.jpg?size=180x&lossy=1,Albania,https://capology-e6a3.kxcdn.com/static/images/flags/albania.svg,21,2002,Fulham,AMF,LMF,Left,180.0,2025,0.128,4,4,19,88.0,53.0,90.0,70.0,55.0,82.0,79.0,56.0,68.0,70.0,Fulham,https://capology-e6a3.kxcdn.com/static/images/logos/uk/fulham.svg,Attacking Left Midfielder,Premier League,2023-2024,20,1534,85.0
5,Agustín Ruberto ,https://cdn.resfu.com/img_data/players/medium/3221607.jpg?size=180x&lossy=1,Argentina,https://capology-e6a3.kxcdn.com/static/images/flags/argentina.svg,18,2006,River Plate,CF,AMF,Right,185.0,2027,2.0,5,5,20,62.0,56.0,85.0,55.0,62.0,39.0,40.0,57.0,60.0,50.0,River Plate,https://capology-e6a3.kxcdn.com/static/images/logos/ar/river-plate.svg,Finisher Centre Foward,Primera Division Arg.,2023-2024,8,152,10.0
6,Alan Matturro,https://cdn.resfu.com/img_data/players/medium/907094.jpg?size=180x&lossy=1,Uruguay,https://capology-e6a3.kxcdn.com/static/images/flags/uruguay.svg,19,2004,Genoa,CB,LB,Left,189.0,2026,2.7,6,6,21,83.0,88.0,60.0,67.0,60.0,70.0,70.0,55.0,71.0,70.0,Genoa,https://capology-e6a3.kxcdn.com/static/images/logos/it/genoa.svg,Technical Left CenterBack,Serie A,2023-2024,7,240,43.0
7,Alan Minda,https://cdn.resfu.com/img_data/players/medium/979119.jpg?size=180x&lossy=1,Ecuador,https://capology-e6a3.kxcdn.com/static/images/flags/ecuador.svg,20,2003,Cercle Brugge,RW,LW,Right,171.0,2028,3.6,7,7,22,50.0,30.0,70.0,81.0,72.0,60.0,65.0,70.0,80.0,80.0,Cercle Brugge,https://capology-e6a3.kxcdn.com/static/images/logos/be/cercle-brugges.svg,Combinative Win Foward,Belgium Pro League,2023-2024,35,1919,66.0
8,Alan Varela,https://cdn.resfu.com/img_data/players/medium/902920.jpg?size=180x&lossy=1,Argentina,https://capology-e6a3.kxcdn.com/static/images/flags/argentina.svg,22,2001,FC Porto,DMF,CMF,Right,177.0,2028,20.6,8,8,23,81.0,61.0,45.0,75.0,80.0,56.0,70.0,80.0,85.0,90.0,FC Porto,https://capology-e6a3.kxcdn.com/static/images/logos/pt/porto.svg,Technical Defensive Midfielder,Primeira Liga ,2023-2024,40,3048,92.0
9,Alberto Moleiro,https://cdn.resfu.com/img_data/players/medium/908854.jpg?size=180x&lossy=1,Spain,https://capology-e6a3.kxcdn.com/static/images/flags/spain.svg,20,2003,Las Palmas,AMF,LW,Right,171.0,2026,11.6,9,9,24,70.0,30.0,50.0,70.0,71.0,60.0,65.0,71.0,80.0,90.0,Las Palmas,https://capology-e6a3.kxcdn.com/static/images/logos/es/las-palmas.svg,Dribbler Attacking Midfielder,La Liga,2023-2024,26,1477,65.0
10,Alejandro Garnacho,https://cdn.resfu.com/img_data/players/medium/879635.jpg?size=180x&lossy=1,Argentina,https://capology-e6a3.kxcdn.com/static/images/flags/argentina.svg,19,2004,Manchester United,LW,RW,Right,180.0,2028,38.1,10,10,19,65.0,40.0,75.0,72.0,81.0,80.0,80.0,81.0,94.0,100.0,Manchester United,https://capology-e6a3.kxcdn.com/static/images/logos/uk/manchester-united.svg,Changed Leg Left Winger,Premier League,2023-2024,45,3102,80.0
