Team_ID,Player_ID,Team,Team_Image,Profile_Main_Characteristic,Competition,Competition_ID,Season,Matches_Played,Minutes,Start_Line_UP_Percent
1,1,Leicester,https://capology-e6a3.kxcdn.com/static/images/logos/uk/leicester.svg,Changed Leg Right Winger ,Championship,1,2023-2024,41,2805,77.0
2,2,B.Leverkusen,https://capology-e6a3.kxcdn.com/static/images/logos/de/bayer-leverkusen.svg,Inside Left Winger ,Bundesliga,2,2023-2024,32,815,28.0
3,3,Crystal Palace,https://capology-e6a3.kxcdn.com/static/images/logos/uk/crystal-palace.svg,Defensive Technical Midfielder,Premier League,3,2023-2024,11,865,91.0
4,4,Fulham,https://capology-e6a3.kxcdn.com/static/images/logos/uk/fulham.svg,Attacking Left Midfielder,Premier League,3,2023-2024,20,1534,85.0
5,5,River Plate,https://capology-e6a3.kxcdn.com/static/images/logos/ar/river-plate.svg,Finisher Centre Foward,Primera Division Arg.,4,2023-2024,8,152,10.0
6,6,Genoa,https://capology-e6a3.kxcdn.com/static/images/logos/it/genoa.svg,Technical Left CenterBack,Serie A,5,2023-2024,7,240,43.0
7,7,Cercle Brugge,https://capology-e6a3.kxcdn.com/static/images/logos/be/cercle-brugges.svg,Combinative Win Foward,Belgium Pro League,6,2023-2024,35,1919,66.0
8,8,FC Porto,https://capology-e6a3.kxcdn.com/static/images/logos/pt/porto.svg,Technical Defensive Midfielder,Primeira Liga ,7,2023-2024,40,3048,92.0
9,9,Las Palmas,https://capology-e6a3.kxcdn.com/static/images/logos/es/las-palmas.svg,Dribbler Attacking Midfielder,La Liga,8,2023-2024,26,1477,65.0
10,10,Manchester United,https://capology-e6a3.kxcdn.com/static/images/logos/uk/manchester-united.svg,Changed Leg Left Winger,Premier League,3,2023-2024,45,3102,80.0
11,11,Portimonense,https://capology-e6a3.kxcdn.com/static/images/logos/pt/portimonense.svg,Technical CenterBack ,Primeira Liga ,7,2023-2024,29,2535,100.0
12,12,Villarreal,https://capology-e6a3.kxcdn.com/static/images/logos/es/villarreal.svg,Dribbler Attacking Midfielder,La Liga,8,2023-2024,41,2774,85.0
13,13,AC Milan,https://capology-e6a3.kxcdn.com/static/images/logos/it/ac-milan.svg,Offensive Winger Back,Serie A,5,2023-2024,5,2027,40.0
14,14,Bournemouth,https://capology-e6a3.kxcdn.com/static/images/logos/uk/bournemouth.svg,Playmaker Centre Midfielder,Premier League,3,2023-2024,24,1254,58.0
15,15,Benfica,https://capology-e6a3.kxcdn.com/static/images/logos/pt/benfica.svg,1vs1 Especialist Goalkeeper,Primeira Liga ,7,2023-2024,46,4140,100.0
16,16,Nordsjaelland,https://capology-e6a3.kxcdn.com/static/images/logos/dk/nordsjaelland.svg,Changed Leg Left Winger,Superliga Denmark,9,2023-2024,33,2218,79.0
17,17,Real Salt Lake,https://capology-e6a3.kxcdn.com/static/images/logos/us/real-salt-lake.svg,Outside Right Winger,MLS,10,2023-2024,9,658,89.0
18,18,Strasbourg,https://capology-e6a3.kxcdn.com/static/images/logos/fr/strasbourg.svg,Technical Defensive Midfielder,Ligue 1,11,2023-2024,8,573,75.0
